wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
4,4,0.26559877395629883,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.28122568130493164,16,16,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,3,0.26560163497924805,19,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.31247401237487793,20,20,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,0.2187340259552002,20,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.3749680519104004,19,19,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.42183494567871094,15,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.3593418598175049,12,12,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.5311996936798096,14,14,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,2.5778915882110596,46,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,2.6091368198394775,40,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.23435449600219727,19,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,2,2.5622661113739014,48,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.8124246597290039,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,1.4061217308044434,21,20,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,3,2.312291145324707,47,44,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,5.1089088916778564,49,49,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,5.265143394470215,36,35,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.546825647354126,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,3,8.15550422668457,40,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,6.483779430389404,44,43,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,0.5468249320983887,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,7.827406406402588,35,31,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.5780680179595947,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,10.155320882797241,52,48,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,7.030602931976318,44,43,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,3,0.593693733215332,16,14,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,3,7.921149015426636,45,41,Intermediate (16x16),18x18,True,"(3, 3)",True,2
3,2,13.686244487762451,54,48,Intermediate (16x16),18x18,True,"(3, 3)",True,2
2,1,15.592321634292603,94,86,Expert (16x30),18x32,True,"(3, 3)",True,3
5,4,1.2655086517333984,17,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,2,15.732931137084961,88,78,Expert (16x30),18x32,True,"(3, 3)",True,3
5,3,0.343719482421875,21,19,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,8.061760425567627,45,45,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,6.968109130859375,40,40,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.43746161460876465,18,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
2,1,14.779889345169067,90,83,Expert (16x30),18x32,True,"(3, 3)",True,3
2,0,15.607941627502441,112,99,Expert (16x30),18x32,True,"(3, 3)",True,3
3,3,0.1718597412109375,15,13,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,2.0310633182525635,39,38,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,3,3.1715829372406006,46,44,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.20310640335083008,18,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,19.57633113861084,90,76,Expert (16x30),18x32,True,"(3, 3)",True,3
4,3,7.608675003051758,44,41,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,3,0.9530408382415771,20,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,3,2.765369176864624,48,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
3,2,2.4685232639312744,45,42,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.1718592643737793,18,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,0,21.841742992401123,134,122,Expert (16x30),18x32,True,"(3, 3)",True,3
4,3,2.187302350997925,32,29,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.20310711860656738,16,16,Beginner (9x9),11x11,True,"(3, 3)",True,1
2,1,19.091993808746338,119,110,Expert (16x30),18x32,True,"(3, 3)",True,3
5,4,7.3587000370025635,50,49,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.7030608654022217,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,3,5.296388626098633,37,34,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,2.265416383743286,44,42,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.28122377395629883,19,19,Beginner (9x9),11x11,True,"(3, 3)",True,1
2,1,26.9662766456604,85,78,Expert (16x30),18x32,True,"(3, 3)",True,3
4,2,2.015439987182617,42,38,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.21872997283935547,18,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
2,2,12.420736074447632,79,73,Expert (16x30),18x32,True,"(3, 3)",True,3
5,4,1.9841899871826172,41,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.46870946884155273,21,21,Beginner (9x9),11x11,True,"(3, 3)",True,1
