wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
25,24,0.7811758518218994,78,76,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,22,1.0311520099639893,90,87,Beginner (9x9),11x11,True,"(3, 3)",True,1
24,21,1.3123772144317627,89,85,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,18,1.2342579364776611,87,79,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,21,10.014666318893433,223,217,Intermediate (16x16),18x18,True,"(3, 3)",True,2
22,20,10.420878171920776,221,213,Intermediate (16x16),18x18,True,"(3, 3)",True,2
25,22,1.1248931884765625,89,86,Beginner (9x9),11x11,True,"(3, 3)",True,1
18,15,11.577022790908813,221,207,Intermediate (16x16),18x18,True,"(3, 3)",True,2
24,23,0.8124237060546875,92,91,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,17,11.139558553695679,227,218,Intermediate (16x16),18x18,True,"(3, 3)",True,2
18,16,8.764788150787354,206,194,Intermediate (16x16),18x18,True,"(3, 3)",True,2
24,24,0.9061627388000488,78,77,Beginner (9x9),11x11,True,"(3, 3)",True,1
21,16,9.827178955078125,220,207,Intermediate (16x16),18x18,True,"(3, 3)",True,2
21,19,8.499186038970947,214,205,Intermediate (16x16),18x18,True,"(3, 3)",True,2
24,22,0.7967989444732666,81,78,Beginner (9x9),11x11,True,"(3, 3)",True,1
23,20,8.858530759811401,224,221,Intermediate (16x16),18x18,True,"(3, 3)",True,2
7,3,42.57405161857605,448,405,Expert (16x30),18x32,True,"(3, 3)",True,3
9,6,52.6355881690979,466,421,Expert (16x30),18x32,True,"(3, 3)",True,3
24,23,1.2186329364776611,82,80,Beginner (9x9),11x11,True,"(3, 3)",True,1
9,1,57.322641372680664,494,438,Expert (16x30),18x32,True,"(3, 3)",True,3
24,23,0.6874349117279053,81,79,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,15,6.233781814575195,206,197,Intermediate (16x16),18x18,True,"(3, 3)",True,2
25,19,8.889774560928345,208,198,Intermediate (16x16),18x18,True,"(3, 3)",True,2
8,4,67.22794604301453,466,403,Expert (16x30),18x32,True,"(3, 3)",True,3
25,22,0.62493896484375,82,78,Beginner (9x9),11x11,True,"(3, 3)",True,1
8,3,69.14963603019714,468,410,Expert (16x30),18x32,True,"(3, 3)",True,3
24,23,0.5468239784240723,73,71,Beginner (9x9),11x11,True,"(3, 3)",True,1
8,4,60.697317123413086,511,457,Expert (16x30),18x32,True,"(3, 3)",True,3
23,19,9.155377388000488,226,219,Intermediate (16x16),18x18,True,"(3, 3)",True,2
23,18,6.483758926391602,219,211,Intermediate (16x16),18x18,True,"(3, 3)",True,2
25,22,1.093641757965088,84,82,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,17,10.06153154373169,202,193,Intermediate (16x16),18x18,True,"(3, 3)",True,2
25,25,0.7030587196350098,80,80,Beginner (9x9),11x11,True,"(3, 3)",True,1
9,3,57.21327757835388,479,423,Expert (16x30),18x32,True,"(3, 3)",True,3
21,16,8.405450344085693,218,207,Intermediate (16x16),18x18,True,"(3, 3)",True,2
24,23,1.2498762607574463,99,96,Beginner (9x9),11x11,True,"(3, 3)",True,1
22,20,7.468035697937012,206,198,Intermediate (16x16),18x18,True,"(3, 3)",True,2
11,4,83.8357298374176,532,479,Expert (16x30),18x32,True,"(3, 3)",True,3
22,22,0.9999053478240967,72,68,Beginner (9x9),11x11,True,"(3, 3)",True,1
21,19,8.34295105934143,207,189,Intermediate (16x16),18x18,True,"(3, 3)",True,2
10,5,48.16726613044739,456,429,Expert (16x30),18x32,True,"(3, 3)",True,3
24,22,0.7343072891235352,93,91,Beginner (9x9),11x11,True,"(3, 3)",True,1
23,18,7.108697414398193,233,224,Intermediate (16x16),18x18,True,"(3, 3)",True,2
6,2,62.822115898132324,455,410,Expert (16x30),18x32,True,"(3, 3)",True,3
23,22,0.8592925071716309,93,90,Beginner (9x9),11x11,True,"(3, 3)",True,1
12,1,74.57099080085754,517,452,Expert (16x30),18x32,True,"(3, 3)",True,3
19,15,6.218151807785034,202,189,Intermediate (16x16),18x18,True,"(3, 3)",True,2
24,21,1.1248912811279297,103,99,Beginner (9x9),11x11,True,"(3, 3)",True,1
10,6,60.93167161941528,528,476,Expert (16x30),18x32,True,"(3, 3)",True,3
22,17,6.843098402023315,217,208,Intermediate (16x16),18x18,True,"(3, 3)",True,2
23,20,0.8749151229858398,75,70,Beginner (9x9),11x11,True,"(3, 3)",True,1
11,5,71.21194005012512,549,493,Expert (16x30),18x32,True,"(3, 3)",True,3
22,16,6.905590772628784,226,215,Intermediate (16x16),18x18,True,"(3, 3)",True,2
23,21,0.7811756134033203,90,85,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,2,44.51137018203735,420,371,Expert (16x30),18x32,True,"(3, 3)",True,3
19,16,6.843096733093262,234,225,Intermediate (16x16),18x18,True,"(3, 3)",True,2
24,23,0.5780689716339111,73,71,Beginner (9x9),11x11,True,"(3, 3)",True,1
