wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
4,4,0.2499699592590332,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.2812166213989258,16,16,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,3,0.24997234344482422,19,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.20310235023498535,19,19,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.34371018409729004,20,20,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.21872448921203613,15,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,0.3905806541442871,20,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.15623188018798828,12,12,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.17185354232788086,14,14,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.9217662811279297,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,2.187239646911621,36,35,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,2.5621941089630127,46,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,2.6715550422668457,40,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.46869444847106934,21,20,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,1.171731948852539,19,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.17185473442077637,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,0.8592703342437744,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,2.3590924739837646,44,43,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,6.967919111251831,49,49,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.734285831451416,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,2,9.217643976211548,48,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,8.43648648262024,44,43,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,3,0.9061398506164551,16,14,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,10.280012130737305,35,31,Intermediate (16x16),18x18,True,"(3, 3)",True,2
3,3,9.576970100402832,47,44,Intermediate (16x16),18x18,True,"(3, 3)",True,2
3,3,11.295516729354858,40,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,1.6872990131378174,17,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,3,10.63934588432312,45,41,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,13.560869455337524,52,48,Intermediate (16x16),18x18,True,"(3, 3)",True,2
2,0,13.13904070854187,106,96,Expert (16x30),18x32,True,"(3, 3)",True,3
5,3,1.6716747283935547,21,19,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,11.123661279678345,45,45,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.5468072891235352,18,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,2,15.810596466064453,88,78,Expert (16x30),18x32,True,"(3, 3)",True,3
3,3,0.17185640335083008,15,13,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,9.701955556869507,40,40,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,0,16.185551404953003,97,81,Expert (16x30),18x32,True,"(3, 3)",True,3
5,3,2.8277831077575684,48,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
3,2,18.48215126991272,54,48,Intermediate (16x16),18x18,True,"(3, 3)",True,2
