wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
1,1,0.062493085861206055,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.04686880111694336,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.12498283386230469,4,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.07811665534973145,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.07811641693115234,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.062493324279785156,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.31245875358581543,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.03124403953552246,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.7030270099639893,11,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.046872854232788086,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.4843103885650635,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.7186546325683594,11,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.6092908382415771,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.4530656337738037,9,9,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.12498164176940918,5,5,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.031246423721313477,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.14060544967651367,4,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.39056992530822754,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.6405360698699951,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.07811379432678223,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.10936141014099121,3,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,0,0.4374392032623291,8,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,0.18747234344482422,1,0,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,1.2029638290405273,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.17185091972351074,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.4530649185180664,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.4686887264251709,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.046868085861206055,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.4530637264251709,6,6,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.9061272144317627,9,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.1093592643737793,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,1.8747456073760986,4,2,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.26558637619018555,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.14060688018798828,6,6,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.8748824596405029,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.39056873321533203,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.07811665534973145,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,1.4685487747192383,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,1.0935981273651123,12,12,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.2343430519104004,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,3.2964236736297607,16,13,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.5467970371246338,14,14,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.046869516372680664,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,2.312180280685425,20,17,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.015624761581420898,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,2.4527881145477295,22,20,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.8123888969421387,12,12,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.04687047004699707,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,4.343155860900879,27,25,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,1.3591902256011963,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.15622878074645996,5,5,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.5780472755432129,11,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,4.171298980712891,25,23,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.031249046325683594,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,4.921199798583984,12,11,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,1.6404006481170654,13,9,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.3593251705169678,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,0,0.07811450958251953,8,6,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.8280115127563477,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.15622806549072266,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,1.7966270446777344,15,15,Expert (16x30),18x32,True,"(3, 3)",True,3
1,0,0.5155532360076904,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.031247377395629883,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,1.4216806888580322,5,3,Expert (16x30),18x32,True,"(3, 3)",True,3
1,0,0.8123877048492432,12,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.03124547004699707,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,1.0936014652252197,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,0,3.5151443481445312,23,22,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.03124547004699707,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.4374406337738037,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,2.4840340614318848,19,19,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.07811403274536133,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.4374370574951172,10,9,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,0,7.498967409133911,27,26,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.04687237739562988,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,0,6.686580657958984,23,22,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.48430728912353516,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.015623092651367188,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.4374363422393799,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,5.9835524559021,18,18,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.015623807907104492,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,6.702205181121826,19,19,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,2.9214742183685303,26,22,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.031244754791259766,1,1,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.5311739444732666,11,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,5.936683893203735,4,0,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.01562190055847168,1,1,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.968616247177124,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,1.015484094619751,9,9,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,8.905028104782104,20,19,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.12498354911804199,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,1.9216103553771973,5,5,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.015622138977050781,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,2.952718734741211,19,18,Expert (16x30),18x32,True,"(3, 3)",True,3
1,0,2.374676465988159,17,17,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.031245946884155273,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.9842405319213867,5,4,Expert (16x30),18x32,True,"(3, 3)",True,3
1,0,4.546250343322754,29,28,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.04686737060546875,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.49993109703063965,8,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,0.4843099117279053,10,9,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,2.671511173248291,5,0,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.062490224838256836,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,10.701655626296997,24,22,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.14060568809509277,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.5155556201934814,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,0,5.811702489852905,35,31,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.015622854232788086,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,4.140055179595947,11,9,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,1.202955722808838,4,2,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,1.9528594017028809,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.578045129776001,4,4,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.06249547004699707,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.015623092651367188,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,10.123608589172363,24,22,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,8.998767614364624,21,20,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,4.9680705070495605,16,10,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.6405344009399414,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.14060091972351074,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.40619540214538574,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.14060759544372559,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.35932493209838867,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.2968308925628662,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
