wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,samples_solve_duration_total,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,naive_alg_steps,parameters_id,task_id
0,0,0.33300113677978516,50,29,0.024957895278930664,Expert (16x30),18x32,True,,False,0,8,1448
5,4,0.020511388778686523,26,22,0.0069119930267333984,Beginner (8x8),10x10,True,,True,2,17,1457
3,3,0.24592041969299316,52,48,0.03487348556518555,Intermediate (16x16),18x18,True,,True,1,13,1453
4,2,0.018764019012451172,27,21,0.004674673080444336,Beginner (8x8),10x10,True,,False,2,18,1458
5,4,0.029387950897216797,17,16,0.005028486251831055,Beginner (9x9),11x11,True,,True,2,19,1459
4,0,0.01788640022277832,24,16,0.002237081527709961,Beginner (9x9),11x11,True,,False,2,20,1460
2,1,0.10158252716064453,37,24,0.010054349899291992,Intermediate (16x16),18x18,True,,False,2,22,1462
0,0,0.6353511810302734,62,46,0.06074881553649902,Expert (16x30),18x32,True,,True,0,7,1447
3,3,0.2478654384613037,51,47,0.046581268310546875,Intermediate (16x16),18x18,True,,True,2,21,1461
5,4,0.03931069374084473,26,22,0.014410734176635742,Beginner (8x8),10x10,True,,True,3,25,1465
2,1,1.1508805751800537,85,79,0.4032096862792969,Expert (16x30),18x32,True,,True,,71,1439
4,2,0.0339808464050293,27,21,0.009183645248413086,Beginner (8x8),10x10,True,,False,3,26,1466
5,4,0.017608642578125,17,16,0.003092527389526367,Beginner (9x9),11x11,True,,True,3,27,1467
4,0,0.0330960750579834,24,16,0.004103660583496094,Beginner (9x9),11x11,True,,False,3,28,1468
3,3,0.14183425903320312,51,47,0.03023505210876465,Intermediate (16x16),18x18,True,,True,3,29,1469
2,1,0.1858384609222412,37,24,0.01873302459716797,Intermediate (16x16),18x18,True,,False,3,30,1470
1,0,0.6460888385772705,60,41,0.09670734405517578,Expert (16x30),18x32,True,,False,1,16,1456
5,4,0.039847612380981445,26,22,0.014811515808105469,Beginner (8x8),10x10,True,,True,4,33,1473
4,2,0.034703969955444336,27,21,0.009362459182739258,Beginner (8x8),10x10,True,,False,4,34,1474
5,4,0.029827594757080078,17,16,0.005198478698730469,Beginner (9x9),11x11,True,,True,4,35,1475
2,0,0.9307377338409424,77,64,0.13616490364074707,Expert (16x30),18x32,True,,True,1,15,1455
4,0,0.033591270446777344,24,16,0.004159688949584961,Beginner (9x9),11x11,True,,False,4,36,1476
2,0,0.6549191474914551,76,63,0.17873764038085938,Expert (16x30),18x32,True,,True,2,23,1463
2,1,0.18598079681396484,37,24,0.018764019012451172,Intermediate (16x16),18x18,True,,False,4,38,1478
3,3,0.26332855224609375,51,47,0.055109500885009766,Intermediate (16x16),18x18,True,,True,4,37,1477
5,4,0.03644704818725586,26,22,0.012420415878295898,Beginner (8x8),10x10,True,,True,5,41,1481
4,2,0.035943031311035156,27,21,0.009454965591430664,Beginner (8x8),10x10,True,,False,5,42,1482
5,4,0.030454158782958984,17,16,0.005279541015625,Beginner (9x9),11x11,True,,True,5,43,1483
1,0,0.8496899604797363,59,40,0.23688459396362305,Expert (16x30),18x32,True,,False,2,24,1464
4,0,0.0339350700378418,24,16,0.0041408538818359375,Beginner (9x9),11x11,True,,False,5,44,1484
2,0,0.7660937309265137,76,63,0.2751889228820801,Expert (16x30),18x32,True,,True,3,31,1471
2,1,0.18876242637634277,37,24,0.01930856704711914,Intermediate (16x16),18x18,True,,False,5,46,1486
3,3,0.2650449275970459,51,47,0.056360721588134766,Intermediate (16x16),18x18,True,,True,5,45,1485
5,4,0.03441762924194336,26,22,0.013063669204711914,Beginner (8x8),10x10,True,,True,6,49,1489
4,2,0.03020334243774414,27,21,0.008179426193237305,Beginner (8x8),10x10,True,,False,6,50,1490
5,4,0.03076004981994629,17,16,0.005101919174194336,Beginner (9x9),11x11,True,,True,6,51,1491
4,0,0.03338623046875,24,16,0.0041310787200927734,Beginner (9x9),11x11,True,,False,6,52,1492
1,0,0.9386420249938965,59,40,0.37931370735168457,Expert (16x30),18x32,True,,False,3,32,1472
2,0,0.7189252376556396,76,63,0.27344465255737305,Expert (16x30),18x32,True,,True,4,39,1479
2,1,0.18883085250854492,37,24,0.01880192756652832,Intermediate (16x16),18x18,True,,False,6,54,1494
3,3,0.26485753059387207,51,47,0.056005001068115234,Intermediate (16x16),18x18,True,,True,6,53,1493
5,4,0.039155006408691406,26,22,0.014425992965698242,Beginner (8x8),10x10,True,,True,7,57,1497
4,2,0.03412318229675293,27,21,0.009165287017822266,Beginner (8x8),10x10,True,,False,7,58,1498
5,4,0.02918100357055664,17,16,0.005023479461669922,Beginner (9x9),11x11,True,,True,7,59,1499
1,0,0.9432373046875,59,40,0.3838386535644531,Expert (16x30),18x32,True,,False,4,40,1480
4,0,0.032903194427490234,24,16,0.004035234451293945,Beginner (9x9),11x11,True,,False,7,60,1500
2,0,0.7567188739776611,76,63,0.2632625102996826,Expert (16x30),18x32,True,,True,5,47,1487
2,1,0.18567276000976562,37,24,0.01864314079284668,Intermediate (16x16),18x18,True,,False,7,62,1502
3,3,0.26166558265686035,51,47,0.05520009994506836,Intermediate (16x16),18x18,True,,True,7,61,1501
5,4,0.03509664535522461,26,22,0.012425422668457031,Beginner (8x8),10x10,True,,True,,65,1505
