difficulty_id,sample_width,sample_height,use_mine_count,first_click_always_zero,can_flag,wins_0_guess,wins,num_games
3,9,9,0,0,1,2616,8881,15000
3,9,9,1,0,1,3010,9165,15000
3,10,10,0,0,1,2616,8881,15000
3,18,18,1,0,1,3041,9227,15000
3,18,18,0,0,1,2616,8881,15000
3,10,10,1,0,1,3015,9168,15000
3,4,4,0,0,0,1888,8017,15000
3,4,4,1,0,0,1888,8017,15000
3,5,5,1,0,0,2433,8667,15000
3,5,5,0,0,0,2433,8667,15000
3,6,6,1,0,0,2551,8847,15000
3,6,6,0,0,0,2551,8847,15000
3,7,7,0,0,0,2613,8875,15000
3,7,7,1,0,0,2613,8875,15000
3,8,8,0,0,0,2615,8879,15000
3,8,8,1,0,0,2615,8879,15000
3,9,9,0,0,0,2616,8880,15000
3,9,9,1,0,0,2616,8880,15000
3,10,10,0,0,0,2616,8881,15000
3,10,10,1,0,0,2616,8881,15000
3,18,18,1,0,0,3041,9227,15000
3,18,18,0,0,0,2616,8881,15000
4,4,4,0,0,1,251,2315,15000
4,4,4,1,0,1,277,2353,15000
4,5,5,1,0,1,339,2505,15000
4,5,5,0,0,1,268,2419,15000
4,6,6,0,0,1,273,2450,15000
4,6,6,1,0,1,366,2560,15000
4,7,7,0,0,1,274,2458,15000
4,8,8,0,0,1,274,2458,15000
4,7,7,1,0,1,378,2593,15000
4,9,9,0,0,1,277,2460,15000
4,32,18,0,0,1,277,2460,15000
4,8,8,1,0,1,379,2603,15000
4,10,10,0,0,1,277,2460,15000
4,32,18,1,0,1,403,2732,15000
4,9,9,1,0,1,386,2615,15000
4,4,4,0,0,0,38,1110,15000
4,4,4,1,0,0,38,1110,15000
4,10,10,1,0,1,388,2624,15000
4,5,5,0,0,0,162,1925,15000
4,5,5,1,0,0,162,1925,15000
4,6,6,0,0,0,237,2336,15000
4,6,6,1,0,0,237,2336,15000
4,7,7,0,0,0,268,2440,15000
4,7,7,1,0,0,268,2440,15000
4,8,8,0,0,0,273,2451,15000
4,8,8,1,0,0,273,2451,15000
4,9,9,0,0,0,276,2456,15000
4,32,18,0,0,0,277,2460,15000
4,32,18,1,0,0,403,2732,15000
4,9,9,1,0,0,276,2456,15000
4,10,10,0,0,0,277,2460,15000
4,10,10,1,0,0,277,2460,15000
4,4,4,0,1,1,1336,4401,15000
4,5,5,1,1,1,1867,4763,15000
4,4,4,1,1,1,1489,4462,15000
4,5,5,0,1,1,1452,4617,15000
4,6,6,1,1,1,1973,4867,15000
4,6,6,0,1,1,1471,4678,15000
4,7,7,0,1,1,1474,4688,15000
4,8,8,0,1,1,1474,4688,15000
4,7,7,1,1,1,2027,4925,15000
4,9,9,0,1,1,1479,4691,15000
4,8,8,1,1,1,2045,4941,15000
4,32,18,0,1,1,1479,4691,15000
4,10,10,0,1,1,1479,4691,15000
4,32,18,1,1,1,2199,5213,15000
4,9,9,1,1,1,2086,4968,15000
4,10,10,1,1,1,2110,4991,15000
4,4,4,0,1,0,223,2080,15000
4,4,4,1,1,0,223,2080,15000
4,5,5,0,1,0,848,3671,15000
4,5,5,1,1,0,848,3671,15000
4,6,6,0,1,0,1250,4476,15000
4,6,6,1,1,0,1250,4476,15000
4,7,7,0,1,0,1444,4644,15000
4,7,7,1,1,0,1444,4644,15000
4,8,8,0,1,0,1462,4671,15000
4,8,8,1,1,0,1462,4671,15000
4,9,9,0,1,0,1475,4683,15000
4,32,18,0,1,0,1479,4691,15000
4,9,9,1,1,0,1475,4683,15000
4,32,18,1,1,0,2199,5213,15000
4,10,10,0,1,0,1479,4690,15000
4,10,10,1,1,0,1479,4690,15000
