wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
97,91,4.702449083328247,340,332,Beginner (9x9),11x11,True,"(3, 3)",True,1
93,85,4.968037366867065,344,327,Beginner (9x9),11x11,True,"(3, 3)",True,1
97,91,4.76494026184082,318,308,Beginner (9x9),11x11,True,"(3, 3)",True,1
98,91,4.421239376068115,338,329,Beginner (9x9),11x11,True,"(3, 3)",True,1
98,90,5.467962026596069,353,337,Beginner (9x9),11x11,True,"(3, 3)",True,1
95,92,17.575589895248413,325,316,Beginner (9x9),11x11,True,"(3, 3)",True,1
96,92,20.23145842552185,335,326,Beginner (9x9),11x11,True,"(3, 3)",True,1
96,88,19.090994596481323,321,306,Beginner (9x9),11x11,True,"(3, 3)",True,1
94,85,21.809356451034546,364,350,Beginner (9x9),11x11,True,"(3, 3)",True,1
95,88,22.731101751327515,345,331,Beginner (9x9),11x11,True,"(3, 3)",True,1
97,91,18.919146060943604,331,320,Beginner (9x9),11x11,True,"(3, 3)",True,1
97,91,17.403735637664795,332,324,Beginner (9x9),11x11,True,"(3, 3)",True,1
83,71,49.2272732257843,864,827,Intermediate (16x16),18x18,True,"(3, 3)",True,2
84,73,53.83598756790161,892,855,Intermediate (16x16),18x18,True,"(3, 3)",True,2
97,88,4.218141794204712,339,328,Beginner (9x9),11x11,True,"(3, 3)",True,1
86,72,54.5390100479126,833,787,Intermediate (16x16),18x18,True,"(3, 3)",True,2
84,74,54.492138624191284,920,878,Intermediate (16x16),18x18,True,"(3, 3)",True,2
98,90,4.5305938720703125,333,323,Beginner (9x9),11x11,True,"(3, 3)",True,1
87,73,50.914528131484985,862,820,Intermediate (16x16),18x18,True,"(3, 3)",True,2
95,88,4.952410936355591,337,323,Beginner (9x9),11x11,True,"(3, 3)",True,1
85,67,47.227561712265015,864,820,Intermediate (16x16),18x18,True,"(3, 3)",True,2
83,74,51.36758804321289,858,818,Intermediate (16x16),18x18,True,"(3, 3)",True,2
97,90,5.108638525009155,350,338,Beginner (9x9),11x11,True,"(3, 3)",True,1
90,78,52.91424036026001,892,861,Intermediate (16x16),18x18,True,"(3, 3)",True,2
85,69,51.52381753921509,872,832,Intermediate (16x16),18x18,True,"(3, 3)",True,2
93,89,4.51497220993042,331,320,Beginner (9x9),11x11,True,"(3, 3)",True,1
86,66,184.4890103340149,878,836,Intermediate (16x16),18x18,True,"(3, 3)",True,2
81,73,184.8795781135559,819,791,Intermediate (16x16),18x18,True,"(3, 3)",True,2
93,71,190.4256567955017,859,825,Intermediate (16x16),18x18,True,"(3, 3)",True,2
