wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
4,4,0.17184782028198242,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.14060425758361816,16,16,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,3,0.24996328353881836,19,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,0.17185044288635254,20,20,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,1.1716876029968262,36,35,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.14060091972351074,19,19,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,1.421642780303955,40,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,2.0152876377105713,49,49,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,2.4527251720428467,46,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.24995827674865723,20,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,2.4683408737182617,52,48,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.12497496604919434,15,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,2,2.499584436416626,48,46,Intermediate (16x16),18x18,True,"(3, 3)",True,2
3,3,1.6559784412384033,40,39,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,5,0.07811188697814941,12,12,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,2,2.6714322566986084,54,48,Intermediate (16x16),18x18,True,"(3, 3)",True,2
2,1,8.732923984527588,94,86,Expert (16x30),18x32,True,"(3, 3)",True,3
5,5,0.0937352180480957,14,14,Beginner (9x9),11x11,True,"(3, 3)",True,1
2,1,9.201600551605225,85,78,Expert (16x30),18x32,True,"(3, 3)",True,3
3,2,9.029752731323242,88,78,Expert (16x30),18x32,True,"(3, 3)",True,3
5,5,0.1874675750732422,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
4,4,2.4995834827423096,35,31,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,1.265415906906128,44,43,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.17184710502624512,19,18,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,12.622909307479858,90,76,Expert (16x30),18x32,True,"(3, 3)",True,3
3,3,1.8590660095214844,47,44,Intermediate (16x16),18x18,True,"(3, 3)",True,2
5,4,0.46866941452026367,21,20,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,7.233173370361328,76,69,Expert (16x30),18x32,True,"(3, 3)",True,3
1,0,10.857569932937622,66,52,Expert (16x30),18x32,True,"(3, 3)",True,3
5,5,0.1093587875366211,17,17,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,4,2.312119483947754,44,43,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,3,1.4216392040252686,45,41,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,4,0.07811832427978516,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
5,5,1.515373945236206,45,45,Intermediate (16x16),18x18,True,"(3, 3)",True,2
2,0,10.935679912567139,106,96,Expert (16x30),18x32,True,"(3, 3)",True,3
5,4,0.1874713897705078,16,15,Beginner (9x9),11x11,True,"(3, 3)",True,1
3,0,18.481308221817017,134,122,Expert (16x30),18x32,True,"(3, 3)",True,3
5,5,2.218388080596924,40,40,Intermediate (16x16),18x18,True,"(3, 3)",True,2
4,3,0.20308852195739746,16,14,Beginner (9x9),11x11,True,"(3, 3)",True,1
