wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id
1,1,0.06249523162841797,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.03130388259887695,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.03125715255737305,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.062384605407714844,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.0936880111694336,4,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.015623807907104492,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.2811763286590576,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.031246423721313477,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.3123667240142822,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.04687166213989258,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.6561455726623535,11,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.4687061309814453,9,9,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.796755313873291,11,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.7811915874481201,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.74993896484375,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.10937070846557617,5,5,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.03124833106994629,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.6405651569366455,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,0.046875715255737305,4,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,0,0.43746185302734375,8,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.015633583068847656,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.5161006450653076,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,1.297182559967041,4,2,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,0.031148195266723633,3,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,0.42196035385131836,9,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,0.3589491844177246,1,0,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.015625476837158203,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.43706703186035156,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,1.9999539852142334,12,11,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.7497398853302002,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.1406104564666748,6,6,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.6405713558197021,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.031246423721313477,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.5312037467956543,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.499957799911499,7,7,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.06249260902404785,3,3,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,3.1720805168151855,16,13,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,0.5313234329223633,12,12,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,0.21872711181640625,6,6,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,2.2811665534973145,20,17,Expert (16x30),18x32,True,"(3, 3)",True,3
0,0,3.124964475631714,20,19,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,2.2811660766601562,19,19,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.06249547004699707,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.5937008857727051,6,6,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,3.7655346393585205,24,22,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.09373950958251953,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,0,3.40619158744812,23,22,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.07811808586120605,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.6249454021453857,14,14,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,2.4530253410339355,22,20,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.0312504768371582,2,2,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.5000767707824707,10,10,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,1.9684057235717773,18,18,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.046872615814208984,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.578070878982544,11,11,Intermediate (16x16),18x18,True,"(3, 3)",True,2
1,1,1.2968816757202148,12,12,Intermediate (16x16),18x18,True,"(3, 3)",True,2
0,0,2.0000081062316895,4,0,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.1719226837158203,5,5,Beginner (9x9),11x11,True,"(3, 3)",True,1
0,0,6.21852445602417,27,25,Expert (16x30),18x32,True,"(3, 3)",True,3
1,1,0.04687142372131348,4,4,Beginner (9x9),11x11,True,"(3, 3)",True,1
1,1,0.26560211181640625,8,8,Intermediate (16x16),18x18,True,"(3, 3)",True,2
